event,train_step,train_loss,learning_rate,gradient_norm,step_time_seconds,tokens_per_second,tokens_seen,elapsed_hours,estimated_training_cost,validation_loss,hellaswag_accuracy,hellaswag_correct,hellaswag_total,sample_prompt,generated_continuation
train,13590,3.1106698513031006,0.0001704245513140777,0.24259532988071442,1.7474764520011377,300025.7882729161,7125073920,6.705653836165276,,,,,,,
train,13600,3.10176420211792,0.00017005206999874597,0.3039867579936981,1.7487945159955416,299799.65925358416,7130316800,6.7105098860236065,,,,,,,
train,13610,3.1747453212738037,0.00016968005709489637,0.2974265515804291,1.7457469450018834,300323.0230481282,7135559680,6.715364901998328,,,,,,,
train,13620,3.0550007820129395,0.0001693085136919779,0.2533646523952484,1.7477320570033044,299981.90964063135,7140802560,6.720217220322221,,,,,,,
train,13630,3.1073808670043945,0.0001689374408780647,0.2731208801269531,1.7477167620090768,299984.5349067363,7146045440,6.725073031448054,,,,,,,
train,13640,3.1283862590789795,0.00016856683973985245,0.26623156666755676,1.7459799649950583,300282.9416782477,7151288320,6.7299266309974985,,,,,,,
train,13650,3.1342976093292236,0.00016819671136265602,0.2568545937538147,1.7494136489985976,299693.5574957437,7156531200,6.734782341578612,,,,,,,
train,13660,3.0566861629486084,0.00016782705683040548,0.2618178427219391,1.7478365120186936,299963.9819827683,7161774080,6.739639694345557,,,,,,,
train,13670,3.1020431518554688,0.0001674578772256434,0.27382808923721313,1.7504412140115164,299517.6277862426,7167016960,6.744496984581662,,,,,,,
train,13680,3.1387996673583984,0.0001670891736295211,0.23751458525657654,1.7515908920031507,299321.0357473456,7172259840,6.749355789723057,,,,,,,
train,13690,3.116300582885742,0.0001667209471217965,0.282392293214798,1.7489059409999754,299780.55863897793,7177502720,6.754211939038336,,,,,,,
train,13700,3.184659242630005,0.00016635319878083,0.30820947885513306,1.749051076010801,299755.6830620322,7182745600,6.759068226204723,,,,,,,
train,13710,3.1884512901306152,0.00016598592968358172,0.2955706715583801,1.7492970380117185,299713.5355559253,7187988480,6.763926567398335,,,,,,,
train,13720,3.145740270614624,0.00016561914090560835,0.2743402123451233,1.7458869609981775,300298.9378534841,7193231360,6.768781578904996,,,,,,,
train,13730,3.06925630569458,0.00016525283352105988,0.25535500049591064,1.7479137099871878,299950.733840198,7198474240,6.773637280535557,,,,,,,
train,13740,3.139111042022705,0.00016488700860267663,0.26743391156196594,1.746153984015109,300253.01594218594,7203717120,6.778638942201942,,,,,,,
train,13750,3.1086745262145996,0.0001645216672217859,0.23790492117404938,1.7515660609933548,299325.2790606503,7208960000,6.783493020431665,,,,,,,
validation,13750,,,,,,,,,3.0796077251434326,,,,,
train,13760,3.055288314819336,0.00016415681044829904,0.27632880210876465,1.7442721569968853,300576.9471793135,7214202880,6.788616507168335,,,,,,,
train,13770,3.0410399436950684,0.0001637924393507081,0.26098430156707764,1.743624369992176,300688.61678180867,7219445760,6.793468846741946,,,,,,,
train,13780,3.1295127868652344,0.00016342855499608294,0.2585555613040924,1.745191555004567,300418.5978877419,7224688640,6.798320861354166,,,,,,,
train,13790,3.1288678646087646,0.00016306515845006784,0.2710105776786804,1.7473961070063524,300039.58341089176,7229931520,6.803173656138056,,,,,,,
train,13800,3.0866799354553223,0.00016270225077687884,0.2893281579017639,1.74588179498096,300299.8264299547,7235174400,6.808024297014441,,,,,,,
train,13810,3.061737537384033,0.0001623398330392998,0.26617878675460815,1.7466076150012668,300175.0338753789,7240417280,6.812876009713889,,,,,,,
train,13820,3.0862090587615967,0.00016197790629868012,0.28035789728164673,1.7481227710086387,299914.8622138789,7245660160,6.817728773471665,,,,,,,
train,13830,3.0697433948516846,0.00016161647161493122,0.2613063454627991,1.7454674619948491,300371.11055671296,7250903040,6.8225815804225,,,,,,,
train,13840,3.042442560195923,0.00016125553004652375,0.27743393182754517,1.7469104829942808,300122.9914777015,7256145920,6.827434139901388,,,,,,,
train,13850,3.0925135612487793,0.00016089508265048383,0.2839496433734894,1.742950218002079,300804.91948931536,7261388800,6.832285601291385,,,,,,,
train,13860,3.102139949798584,0.0001605351304823905,0.27901309728622437,1.7467969860008452,300142.4917730802,7266631680,6.837137408173884,,,,,,,
train,13870,3.0560638904571533,0.00016017567459637293,0.24052315950393677,1.7459584299940616,300286.645428198,7271874560,6.841986840889723,,,,,,,
train,13880,3.1688623428344727,0.00015981671604510655,0.27012088894844055,1.7466490209917538,300167.9179382629,7277117440,6.846839420237779,,,,,,,
train,13890,3.1183502674102783,0.0001594582558798102,0.2589467465877533,1.745258056995226,300407.1506208403,7282360320,6.851690712423329,,,,,,,
train,13900,3.07084321975708,0.00015910029515024332,0.2613331079483032,1.7471721500041895,300078.04325334675,7287603200,6.856547541899166,,,,,,,
train,13910,3.0721945762634277,0.00015874283490470306,0.27264994382858276,1.7481136029819027,299916.43512508477,7292846080,6.861404436191943,,,,,,,
train,13920,3.1326982975006104,0.00015838587619002056,0.27200451493263245,1.7475026250176597,300021.29467170424,7298088960,6.866260144509999,,,,,,,
train,13930,3.0969741344451904,0.00015802942005155803,0.2702513635158539,1.7470258850080427,300103.1664723081,7303331840,6.87126645404805,,,,,,,
train,13940,3.034464120864868,0.00015767346753320637,0.2990309000015259,1.7477184679883067,299984.24208647077,7308574720,6.876121332404445,,,,,,,
train,13950,3.152783155441284,0.00015731801967738127,0.31867700815200806,1.7453128759807441,300397.71505460684,7313817600,6.880974527785276,,,,,,,
train,13960,3.0760769844055176,0.00015696307752502073,0.26637792587280273,1.747283606993733,300058.9016582472,7319060480,6.8858286732338865,,,,,,,
train,13970,3.018989324569702,0.0001566086421155813,0.25889816880226135,1.7462204509938601,300241.58731024014,7324303360,6.890684891833056,,,,,,,
train,13980,3.080397129058838,0.0001562547144870362,0.26429179310798645,1.747003038006369,300107.09116928774,7329546240,6.895538932386941,,,,,,,
train,13990,3.1398890018463135,0.00015590129567587122,0.26284658908843994,1.747552310989704,300012.7645409803,7334789120,6.900395271271668,,,,,,,
train,14000,3.112715005874634,0.00015554838671708209,0.2620462477207184,1.7463283129909541,300223.0428836412,7340032000,6.905248431052775,,,,,,,
validation,14000,,,,,,,,,3.074875831604004,,,,,
sample,14000,,,,,,,,,,,,,"Hello, I'm a language model,","Hello, I'm a language model, I write something for the reader. If no one knows what I'm doing, I get kicked out of the conversation. Now when that occurs a few lines go into a paragraph in your language model, for example, 'This means in some way that the speaker is also alive and"
train,14010,3.0893564224243164,0.00015519598864417128,0.24864618480205536,1.755675408989191,298624.6759028495,7345274880,6.91136606405722,,,,,,,
train,14020,3.1309096813201904,0.00015484410248914554,0.273046612739563,1.7524130719830282,299180.603239119,7350517760,6.916244305814996,,,,,,,
train,14030,3.0827620029449463,0.00015449272928251212,0.29815760254859924,1.7478789949964266,299956.6912245386,7355760640,6.92110473863639,,,,,,,
train,14040,3.068300485610962,0.00015414187005327614,0.2842387557029724,1.7468307400122285,300136.6921195409,7361003520,6.925961768015558,,,,,,,
train,14050,3.0574564933776855,0.00015379152582893762,0.29846787452697754,1.7460818380059209,300265.4220370066,7366246400,6.930812675138886,,,,,,,
train,14060,3.1168575286865234,0.00015344169763548826,0.2675938308238983,1.7477500889799558,299978.81465192296,7371489280,6.935667979026387,,,,,,,
train,14070,3.087794542312622,0.00015309238649740864,0.2738044559955597,1.7493091959913727,299711.452498753,7376732160,6.940522132475833,,,,,,,
train,14080,3.0784947872161865,0.00015274359343766505,0.26907750964164734,1.7505311990098562,299502.23126360175,7381975040,6.945379469394999,,,,,,,
train,14090,3.1162805557250977,0.00015239531947770668,0.27144885063171387,1.7488625490223058,299787.9966570849,7387217920,6.950234761220272,,,,,,,
train,14100,3.1253695487976074,0.00015204756563746242,0.30546125769615173,1.7492408209946007,299723.16773507214,7392460800,6.955093625050552,,,,,,,
train,14110,3.101041316986084,0.00015170033293533805,0.2720887064933777,1.7479095779999625,299951.44291154586,7397703680,6.959952591689167,,,,,,,
train,14120,3.0138890743255615,0.00015135362238821314,0.2558605372905731,1.7490742189984303,299751.71682549996,7402946560,6.964973078283058,,,,,,,
train,14130,3.1123883724212646,0.00015100743501143813,0.26786068081855774,1.750799711997388,299456.29783196026,7408189440,6.96983322242,,,,,,,
train,14140,3.101515054702759,0.00015066177181883135,0.27929943799972534,1.749240237986669,299723.2676304326,7413432320,6.974694723109998,,,,,,,
train,14150,3.0599801540374756,0.00015031663382267601,0.25287315249443054,1.7495854849985335,299664.1230139375,7418675200,6.9795555516058325,,,,,,,
